epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2992.34,1.01042,0.64794,1.14607,0.9602,0.8866,0.94096,0.66608,1.1653,0.57354,1.09898,0.000325526,0.000325526,0.000325526
41,3065.41,0.90218,0.5225,1.06089,0.96988,0.87463,0.92853,0.68878,1.07231,0.55567,1.06619,0.000297232,0.000297232,0.000297232
42,3131.98,0.90566,0.50127,1.06407,0.96899,0.88914,0.92829,0.65962,1.15884,0.58016,1.1073,0.000268938,0.000268938,0.000268938
43,3198.65,0.88421,0.49179,1.05416,0.97485,0.8868,0.93175,0.68931,1.07891,0.55709,1.06976,0.000240644,0.000240644,0.000240644
44,3265.13,0.88945,0.48335,1.04903,0.96445,0.90162,0.93505,0.67624,1.10078,0.55224,1.085,0.000212349,0.000212349,0.000212349
45,3331.73,0.90086,0.49035,1.04664,0.98111,0.87457,0.93517,0.68641,1.07709,0.53421,1.079,0.000184055,0.000184055,0.000184055
46,3398,0.85229,0.4601,1.03916,0.96403,0.88936,0.92948,0.68463,1.08225,0.53848,1.08003,0.000155761,0.000155761,0.000155761
47,3464.66,0.84123,0.46013,1.02722,0.97318,0.8958,0.93011,0.69409,1.03797,0.54398,1.043,0.000127467,0.000127467,0.000127467
48,3531.2,0.82169,0.43962,1.02457,0.97269,0.89581,0.93212,0.7199,0.93953,0.51798,1.01062,9.91726e-05,9.91726e-05,9.91726e-05
49,3597.62,0.83817,0.44761,1.03382,0.96948,0.8927,0.93599,0.72518,0.92499,0.50227,1.00174,7.08784e-05,7.08784e-05,7.08784e-05
50,3663.88,0.81495,0.43695,1.02629,0.96734,0.89463,0.93592,0.73174,0.93506,0.48899,1.00237,4.25842e-05,4.25842e-05,4.25842e-05
1,82.0803,1.46838,2.34026,1.45122,0.84997,0.4793,0.68065,0.38358,1.44421,1.68303,1.27626,0.000474097,0.000474097,0.000474097
2,156.804,1.52267,1.76748,1.49762,0.673,0.61171,0.67348,0.40535,1.6147,2.01313,1.47955,0.000941021,0.000941021,0.000941021
3,231.02,1.53048,1.60289,1.53737,0.77881,0.53126,0.64406,0.36011,1.5501,1.66796,1.43893,0.00139851,0.00139851,0.00139851
4,311.963,1.56825,1.56448,1.55436,0.7958,0.61938,0.68283,0.42098,1.5578,1.58563,1.49076,0.00138656,0.00138656,0.00138656
5,395.647,1.53258,1.46949,1.50836,0.79056,0.69681,0.77954,0.45288,1.56255,1.19401,1.46728,0.00137241,0.00137241,0.00137241
6,487.046,1.48896,1.37566,1.47964,0.88278,0.72364,0.81712,0.47606,1.48751,1.0911,1.36387,0.00135826,0.00135826,0.00135826
7,574.531,1.42188,1.30884,1.42081,0.83232,0.78294,0.82874,0.52866,1.30373,1.0254,1.27064,0.00134412,0.00134412,0.00134412
8,651.069,1.41757,1.22079,1.423,0.83674,0.73319,0.80765,0.46519,1.51405,1.16797,1.41651,0.00132997,0.00132997,0.00132997
9,729.395,1.39128,1.2033,1.412,0.91675,0.77735,0.82917,0.48378,1.4969,1.00794,1.3383,0.00131582,0.00131582,0.00131582
10,811.406,1.38807,1.18502,1.39052,0.88691,0.74434,0.84635,0.54686,1.30378,0.9799,1.32002,0.00130168,0.00130168,0.00130168
11,899.255,1.36169,1.18501,1.40416,0.887,0.74766,0.82575,0.5144,1.41734,1.01268,1.32355,0.00128753,0.00128753,0.00128753
12,985.628,1.36281,1.13283,1.39523,0.9177,0.78578,0.85671,0.54165,1.39334,0.93693,1.30639,0.00127338,0.00127338,0.00127338
13,1075.3,1.30706,1.04844,1.34702,0.8827,0.79353,0.85071,0.51347,1.52611,1.05823,1.3665,0.00125923,0.00125923,0.00125923
14,1149.76,1.33174,1.08213,1.36419,0.94072,0.7266,0.825,0.54726,1.32229,0.98102,1.27174,0.00124509,0.00124509,0.00124509
15,1238.94,1.3136,1.0717,1.36008,0.93576,0.77706,0.85294,0.5568,1.39047,0.9873,1.33822,0.00123094,0.00123094,0.00123094
16,1331.71,1.32646,1.05168,1.3687,0.90756,0.84055,0.87412,0.50731,1.59699,0.83331,1.35272,0.00121679,0.00121679,0.00121679
17,1420.62,1.26438,0.93919,1.33954,0.95629,0.81704,0.88734,0.53556,1.41773,0.87816,1.29027,0.00120265,0.00120265,0.00120265
18,1509.15,1.27779,1.00302,1.33003,0.94303,0.81734,0.89134,0.53306,1.49126,0.84483,1.30925,0.0011885,0.0011885,0.0011885
19,1602.72,1.29504,1.00585,1.31857,0.91634,0.80443,0.88302,0.5564,1.36941,0.8466,1.26976,0.00117435,0.00117435,0.00117435
20,1690.6,1.30458,1.00272,1.35649,0.95434,0.81859,0.88249,0.53776,1.47483,0.8242,1.31045,0.00116021,0.00116021,0.00116021
21,1777.74,1.24473,0.97693,1.32177,0.95163,0.77551,0.863,0.53374,1.46576,0.93865,1.33364,0.00114606,0.00114606,0.00114606
22,1867.4,1.24112,0.96582,1.29594,0.91697,0.84286,0.89259,0.5579,1.41097,0.80467,1.27627,0.00113191,0.00113191,0.00113191
23,1951.65,1.26697,0.97543,1.31432,0.96119,0.78437,0.87807,0.58751,1.22431,0.80523,1.19236,0.00111776,0.00111776,0.00111776
24,2041.13,1.23845,0.93496,1.28909,0.93663,0.79959,0.87791,0.53044,1.43761,0.84002,1.2577,0.00110362,0.00110362,0.00110362
25,2117.78,1.23693,0.92235,1.30189,0.93149,0.86124,0.89982,0.61663,1.21594,0.73948,1.16444,0.00108947,0.00108947,0.00108947
26,2201.28,1.18695,0.84345,1.26578,0.97231,0.84205,0.90088,0.60392,1.27509,0.66435,1.20024,0.00107532,0.00107532,0.00107532
27,2284.6,1.20472,0.90737,1.28545,0.94772,0.79992,0.90186,0.60671,1.26961,0.75578,1.20602,0.00106118,0.00106118,0.00106118
28,2371.04,1.20784,0.88277,1.28317,0.97682,0.84237,0.89682,0.60978,1.22507,0.74968,1.16396,0.00104703,0.00104703,0.00104703
29,2454.29,1.20763,0.86591,1.27287,0.94137,0.84476,0.89662,0.58305,1.34557,0.76788,1.21764,0.00103288,0.00103288,0.00103288
30,2538.23,1.22463,0.88342,1.29778,0.95668,0.81489,0.8838,0.55889,1.32254,0.83723,1.20159,0.00101873,0.00101873,0.00101873
31,2619.9,1.18608,0.85683,1.26203,0.96186,0.8359,0.90918,0.6169,1.20017,0.7067,1.15108,0.00100459,0.00100459,0.00100459
32,2700.86,1.16895,0.83035,1.25097,0.94406,0.83792,0.90852,0.61163,1.18702,0.68178,1.16013,0.00099044,0.00099044,0.00099044
33,2782.11,1.19613,0.84358,1.2839,0.96441,0.83461,0.90277,0.59313,1.28272,0.69315,1.20022,0.000976293,0.000976293,0.000976293
34,2864.7,1.17771,0.83274,1.26494,0.95967,0.85109,0.91138,0.62395,1.24832,0.75311,1.19213,0.000962146,0.000962146,0.000962146
