epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5877.69,1.17951,0.84877,1.41876,0.9491,0.87099,0.93658,0.65823,1.19705,0.62987,1.28882,0.00058352,0.00058352,0.00058352
43,6016.23,1.1584,0.83265,1.40422,0.94228,0.88769,0.92799,0.62514,1.29423,0.66727,1.33365,0.00057824,0.00057824,0.00057824
44,6153.26,1.12094,0.82598,1.37733,0.95713,0.86166,0.92514,0.6352,1.24367,0.67383,1.33336,0.00057296,0.00057296,0.00057296
45,6290.36,1.20355,0.86901,1.43816,0.96817,0.88427,0.93123,0.63958,1.26733,0.66964,1.35122,0.00056768,0.00056768,0.00056768
46,6430.71,1.15801,0.80985,1.39053,0.95881,0.89283,0.92621,0.66488,1.15481,0.63502,1.27538,0.0005624,0.0005624,0.0005624
47,6569.59,1.15468,0.82625,1.41466,0.97082,0.87791,0.92019,0.62625,1.26378,0.66488,1.32293,0.00055712,0.00055712,0.00055712
48,6707.18,1.1392,0.81832,1.39534,0.98328,0.87122,0.93313,0.61792,1.32534,0.66465,1.36049,0.00055184,0.00055184,0.00055184
49,6851.11,1.14255,0.81491,1.4146,0.95147,0.90259,0.93463,0.62796,1.31442,0.6469,1.34215,0.00054656,0.00054656,0.00054656
50,6995.13,1.14844,0.83026,1.41626,0.9581,0.86903,0.9376,0.61771,1.34295,0.66336,1.38411,0.00054128,0.00054128,0.00054128
51,7133.02,1.12167,0.81338,1.39841,0.93711,0.92751,0.94582,0.66905,1.1588,0.58593,1.24936,0.000536,0.000536,0.000536
52,7269.11,1.09958,0.76097,1.3783,0.97116,0.88163,0.93501,0.65521,1.20715,0.63681,1.28004,0.00053072,0.00053072,0.00053072
53,7411.59,1.10611,0.76335,1.37324,0.94386,0.91387,0.94699,0.67813,1.14445,0.57254,1.259,0.00052544,0.00052544,0.00052544
54,7547.42,1.1041,0.77857,1.36574,0.99013,0.89288,0.94955,0.6311,1.29426,0.6111,1.32165,0.00052016,0.00052016,0.00052016
55,7683.73,1.082,0.73199,1.36043,0.96445,0.90584,0.94556,0.66144,1.23674,0.60132,1.3151,0.00051488,0.00051488,0.00051488
56,7819.57,1.11067,0.77145,1.36418,0.96097,0.8996,0.94046,0.59832,1.41008,0.62973,1.40307,0.0005096,0.0005096,0.0005096
57,7955.27,1.09094,0.77861,1.36743,0.96733,0.89849,0.9397,0.63399,1.26463,0.60089,1.32767,0.00050432,0.00050432,0.00050432
58,8090.37,1.05884,0.71761,1.33857,0.96993,0.90515,0.94767,0.66164,1.20466,0.57925,1.29205,0.00049904,0.00049904,0.00049904
59,8226.61,1.10103,0.76881,1.37185,0.95823,0.89585,0.95238,0.65481,1.1954,0.5997,1.276,0.00049376,0.00049376,0.00049376
60,8362.35,1.06966,0.74229,1.37155,0.98355,0.89404,0.93809,0.63397,1.26557,0.65687,1.30991,0.00048848,0.00048848,0.00048848
61,8498.33,1.06065,0.73184,1.33627,0.9686,0.89613,0.94469,0.64731,1.23963,0.60482,1.30664,0.0004832,0.0004832,0.0004832
62,8634.26,1.06799,0.70671,1.34528,0.94763,0.91784,0.94209,0.63805,1.22743,0.69472,1.31258,0.00047792,0.00047792,0.00047792
63,8770.19,1.06437,0.71671,1.33327,0.98737,0.90035,0.94922,0.6069,1.38577,0.60714,1.40185,0.00047264,0.00047264,0.00047264
64,8905.72,1.06504,0.68609,1.35229,0.98307,0.89249,0.95087,0.62722,1.3222,0.58729,1.35219,0.00046736,0.00046736,0.00046736
65,9041.39,1.08308,0.73906,1.35772,0.96067,0.88853,0.94673,0.67436,1.12387,0.57828,1.23295,0.00046208,0.00046208,0.00046208
66,9177.54,1.04569,0.71356,1.33755,0.98221,0.89902,0.9514,0.67481,1.13159,0.56213,1.24882,0.0004568,0.0004568,0.0004568
67,9314.19,1.06529,0.71626,1.33907,0.9918,0.87463,0.94545,0.63569,1.31974,0.61238,1.35914,0.00045152,0.00045152,0.00045152
68,9450.78,1.09621,0.73613,1.3633,0.96607,0.90168,0.95047,0.61797,1.35356,0.62022,1.37557,0.00044624,0.00044624,0.00044624
69,9586.24,1.09754,0.72152,1.33716,0.96428,0.90288,0.94829,0.62742,1.33808,0.58792,1.36985,0.00044096,0.00044096,0.00044096
